label,lambda,criterion,accuracy,delta_dp,delta_eo,delta_eqodds,mean_gap,composite
λ=0.0 (dp),0.0,dp,0.971,0.16167471819645735,0.034181806684695414,0.034181806684695414,0.07667944385528273,0.8943205561447173
λ=0.01 (dp),0.01,dp,0.971,0.16228663446054753,0.025322868936086575,0.025322868936086575,0.07097745744424022,0.9000225425557598
λ=0.1 (dp),0.1,dp,0.974,0.163768115942029,0.03055769138740385,0.03055769138740385,0.07496116623894557,0.8990388337610544
λ=0.5 (dp),0.5,dp,0.971,0.16302737520128824,0.03332286893608658,0.03332286893608658,0.07655770435782046,0.8944422956421795
λ=1.0 (dp),1.0,dp,0.969,0.1554589371980676,0.021349288955120848,0.021349288955120848,0.06605250503610309,0.9029474949638969
λ=0.0 (eo),0.0,eo,0.971,0.1620289855072464,0.03619939156232834,0.03619939156232834,0.0781425895439677,0.8928574104560323
λ=0.01 (eo),0.01,eo,0.973,0.1627697262479871,0.048633942746841054,0.048633942746841054,0.08667920391388974,0.8863207960861103
λ=0.1 (eo),0.1,eo,0.975,0.16141706924315619,0.024720339678375346,0.026503797065094203,0.07088040199554191,0.9041195980044581
λ=0.5 (eo),0.5,eo,0.965,0.16215780998389695,0.030256040541134798,0.03269919317394431,0.07503768123299202,0.8899623187670079
λ=1.0 (eo),1.0,eo,0.967,0.16032206119162642,0.0267972068293846,0.0267972068293846,0.07130549161679854,0.8956945083832014
