config,accuracy,delta_dp,delta_eo,delta_eqodds,phase,category,mean_gap,composite
DistilRoBERTa,0.9,0.1751368760064412,0.1920326269822492,0.1920679070399939,Phase 2,Embedding,0.18641247000956143,0.7135875299904386
BERT,0.849,0.1746537842190016,0.2197787939886147,0.2225263432942514,Phase 2,Embedding,0.2056529738339559,0.6433470261660441
RoBERTa,0.878,0.1769726247987117,0.241383468702209,0.2415066517522213,Phase 2,Embedding,0.21995424841771402,0.658045751582286
BioBERT,0.839,0.1644766505636071,0.1717770772017782,0.1799066992675363,Phase 2,Embedding,0.17205347567764054,0.6669465243223595
ClinicalBERT,0.808,0.1585185185185185,0.1007252380137022,0.1104632928874628,Phase 2,Embedding,0.12323568313989451,0.6847643168601055
Random Forest,0.899,0.1741384863123993,0.1719893040108659,0.1719893040108659,Phase 2,Classifier,0.17270569811137704,0.726294301888623
Logistic Regression,0.968,0.1634138486312399,0.0345513791129121,0.0354581953207525,Phase 2,Classifier,0.07780780768830149,0.8901921923116984
SVM (RBF),0.969,0.1676006441223832,0.0555430617316218,0.0555430617316218,Phase 2,Classifier,0.09289558919520895,0.8761044108047911
MLP,0.974,0.1631561996779388,0.0420624471048076,0.0420624471048076,Phase 2,Classifier,0.08242703129585134,0.8915729687041486
Baseline,0.899,0.1741384863123993,0.1719893040108659,0.1719893040108659,Phase 4,Pre-processing,0.17270569811137704,0.726294301888623
class_weight=balanced,0.906,0.1772302737520129,0.200537910058514,0.200537910058514,Phase 4,Pre-processing,0.192768697956347,0.713231302043653
class_weight=balanced_subsample,0.903,0.1740096618357487,0.1766616188500103,0.1790313527746223,Phase 4,Pre-processing,0.1765675444867938,0.7264324555132062
sample_weight (genre×prof),0.91,0.1696940418679549,0.1213808795960233,0.1243187953388171,Phase 4,Pre-processing,0.13846457226759842,0.7715354277324016
SMOTE (genre×prof),0.917,0.1631239935587761,0.0968724398818732,0.0976144826890636,Phase 4,Pre-processing,0.1192036387099043,0.7977963612900958
Undersampling,0.878,0.1496296296296296,0.0640445214503762,0.0652118123367682,Phase 4,Pre-processing,0.09296198780559134,0.7850380121944087
Augmentation (bruit),0.915,0.1649919484702093,0.1324045466610235,0.1342514009549253,Phase 4,Pre-processing,0.14388263202871934,0.7711173679712807
Baseline,0.899,0.1741384863123993,0.1719893040108659,0.1719893040108659,Phase 4,Post-processing,0.17270569811137704,0.726294301888623
Seuils DP (α=0.3),0.892,0.1709178743961352,0.158401743531476,0.1594971812203026,Phase 4,Post-processing,0.1629389330493046,0.7290610669506954
Seuils DP (α=0.5),0.894,0.1700483091787439,0.1592940085583042,0.1615328604922781,Phase 4,Post-processing,0.1636250594097754,0.7303749405902247
Seuils DP (α=0.7),0.893,0.1684380032206119,0.1486903601337602,0.1514973938859159,Phase 4,Post-processing,0.15620858574676266,0.7367914142532374
Seuils optimisés (EO),0.899,0.1741384863123993,0.1719893040108659,0.1719893040108659,Phase 4,Post-processing,0.17270569811137704,0.726294301888623
λ=0.0 (dp),0.971,0.1616747181964573,0.0341818066846954,0.0341818066846954,Phase 4,In-processing,0.07667944385528269,0.8943205561447173
λ=0.01 (dp),0.971,0.1622866344605475,0.0253228689360865,0.0253228689360865,Phase 4,In-processing,0.07097745744424017,0.9000225425557598
λ=0.1 (dp),0.974,0.163768115942029,0.0305576913874038,0.0305576913874038,Phase 4,In-processing,0.07496116623894554,0.8990388337610544
λ=0.5 (dp),0.971,0.1630273752012882,0.0333228689360865,0.0333228689360865,Phase 4,In-processing,0.0765577043578204,0.8944422956421796
λ=1.0 (dp),0.969,0.1554589371980676,0.0213492889551208,0.0213492889551208,Phase 4,In-processing,0.06605250503610308,0.9029474949638969
λ=0.0 (eo),0.971,0.1620289855072464,0.0361993915623283,0.0361993915623283,Phase 4,In-processing,0.07814258954396766,0.8928574104560323
λ=0.01 (eo),0.973,0.1627697262479871,0.048633942746841,0.048633942746841,Phase 4,In-processing,0.08667920391388971,0.8863207960861103
λ=0.1 (eo),0.975,0.1614170692431561,0.0247203396783753,0.0265037970650942,Phase 4,In-processing,0.07088040199554187,0.9041195980044581
λ=0.5 (eo),0.965,0.1621578099838969,0.0302560405411347,0.0326991931739443,Phase 4,In-processing,0.07503768123299197,0.889962318767008
λ=1.0 (eo),0.967,0.1603220611916264,0.0267972068293846,0.0267972068293846,Phase 4,In-processing,0.07130549161679854,0.8956945083832014
